"Timepoint","Cluster","nCells","ScTypeDB_Default","6mOrg_Custom","Panglao","6mOrg_Reference"
"1M_Org","0",382,"Radial glial cells","IN_progenitors","Radial glia cells","Radial glial cells"
"1M_Org","1",238,"Neuroblasts","IP","Neuroblasts","Neuroblasts"
"1M_Org","2",181,"GABAergic neurons","CPN","Neurons","CPN"
"1M_Org","3",178,"Mature neurons","CPN","Neurons","CPN"
"1M_Org","4",165,"Mature neurons","CPN","Neurons","CPN"
"1M_Org","5",161,"Unknown","aRG","Unknown","aRG"
"1M_Org","6",161,"Radial glial cells","IN_progenitors","Radial glia cells","Interneuron progenitors"
"1M_Org","7",159,"Mature neurons","CPN","Neurons","CPN"
"1M_Org","8",159,"Neural Progenitor cells","Astroglia","Ependymal cells","Astroglia"
"1M_Org","9",141,"Radial glial cells","IN_progenitors","Neural stem/precursor cells","Interneuron progenitors"
"1M_Org","10",89,"Neural stem cells","IN_progenitors","Bergmann glia","Interneuron progenitors"
"1M_Org","11",77,"Radial glial cells","Astroglia","Astrocytes","Astrocytes"
"1M_Org","12",25,"Neural Progenitor cells","Glial_precursors","Neuroblasts","Glial precursors"
