"Timepoint","Cluster","nCells","ScTypeDB_Default","6mOrg_Custom","Panglao","6mOrg_Reference"
"6M_Org","0",524,"Radial glial cells","Astroglia","Astrocytes","Astroglia"
"6M_Org","1",270,"GABAergic neurons","Immature_IN","GABAergic neurons","Immature Interneurons"
"6M_Org","2",247,"Neural Progenitor cells","IN_progenitors","Cholinergic neurons","Interneuron progenitors"
"6M_Org","3",242,"GABAergic neurons","Immature_IN","GABAergic neurons","Immature Interneurons"
"6M_Org","4",235,"Mature neurons","CPN","Neurons","CPN"
"6M_Org","5",211,"Neuroblasts","Immature_IN","GABAergic neurons","Immature Interneurons"
"6M_Org","6",183,"Glutamatergic neurons","CPN","Interneurons","CPN"
"6M_Org","7",153,"Oligodendrocytes","Glial_precursors","Oligodendrocyte progenitor cells","Glial precursors"
"6M_Org","8",119,"Mature neurons","IP","Immature neurons","Intermediate progenitors"
"6M_Org","9",105,"Neural Progenitor cells","IN_progenitors","Neural stem/precursor cells","Interneuron progenitors"
"6M_Org","10",31,"Mature neurons","IP","Cajal-Retzius cells","Intermediate progenitors"
