gene_id,transcript_id,Apical Radial Glia (aRG),Apical Radial Glia (aRG) - Cycling,Cajal-Retzius Cells,Cortical Hem Cells,Deep Layer Projection Neurons,Newborn Deep Layer Projection Neurons,Preplate Neurons,Radial Glia (Mixed),Subcortical Progenitors
ENSG00000184588,ENST00000480109.2,0,1,18.6,2,2.4,1,26.4,2,6
ENSG00000203724,ENST00000367393.8,44,58.4310127,72.43101272,40,37.78288914,63.949254880000005,115.8620255,19.8620255,4
