gene_id,transcript_id,Apical Radial Glia (aRG) - Cycling,Callosal Projection Neurons (Upper Layer),Cortical Hem Cells,Corticofugal Projection Neurons (Deep Layer),Corticothalamic Projection Neurons (Deep Layer),Glutamatergic Neurons (Unspecified Layer),Intermediate Progenitors (IP),Outer Radial Glia (oRG)
ENSG00000118260,ENST00000353267.8,68.39965321,611.8669962700001,25.33313124,255.94952822,379.7961168300001,111.56241844,209.83702925999998,97.12844
ENSG00000204713,ENST00000377199.4,26.33333334,198.6245364899999,18.41666668,79.66666705999998,118.00000021999999,111.74419816999998,54.49989958000002,24.833333399999997
ENSG00000148219,ENST00000361477.8,0.5,3.18549557,0.25,2.19932365,12.833810161159999,1.25000001,0,0.16666667
ENSG00000262454,ENST00000641294.1,0,0,0.33333334,0,0,0,0,0
