gene_id,transcript_id,Callosal Projection Neurons (Upper Layer),Glutamatergic Neurons,Intermediate Progenitors (IP),Interneurons,Oligodendrocyte Progenitors,oRG to Astrocytes (Transitioning),oRG to Oligodendrocyte Progenitors (Transitioning),Outer Radial Glia (oRG) - Cycling
ENSG00000184588,ENST00000423207.6,24.833333419999995,8.20000004,4.5333334,5.91666674,4.333333399999999,108.42235643999996,11.50000012,19.33333356
ENSG00000184588,ENST00000480109.2,6,0.2,2.2,4,4,21.499999999999996,4,1
ENSG00000203724,ENST00000367393.8,1.33333334,13.33333334,5.66666668,10,7,118.03883862,13,4
ENSG00000118260,ENST00000353267.8,163.00454875000003,89.33221834,117.4323014,531.3752239999999,149.2874863,666.75123258,340.55152112,170.8078541
