gene_id,transcript_id,Callosal Projection Neurons (Upper Layer),Glutamatergic Neurons,Intermediate Progenitors (IP),Interneurons,Oligodendrocyte Progenitors,oRG to Astrocytes (Transitioning),oRG to Oligodendrocyte Progenitors (Transitioning),Outer Radial Glia (oRG) - Cycling,Apical Radial Glia (aRG) - Cycling,Cortical Hem Cells,Corticofugal Projection Neurons (Deep Layer),Corticothalamic Projection Neurons (Deep Layer),Glutamatergic Neurons (Unspecified Layer),Outer Radial Glia (oRG),Apical Radial Glia (aRG),Cajal-Retzius Cells,Deep Layer Projection Neurons,Newborn Deep Layer Projection Neurons,Preplate Neurons,Radial Glia (Mixed),Subcortical Progenitors
ENSG00000205981,ENST00000486355.1,4,6,9.500000009999999,15.285714299999999,10.2877479,82.28402613000002,18.142857149999998,13.2996385,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000120727,ENST00000265192.9,1092.2878828399998,253.13733602000002,467.68662022000024,1037.7428977399998,287.83964676000005,1753.1540377400008,494.9342265800002,296.07614886000005,973.9063886400002,466.83942293999996,426.2348421000002,724.00490392,578.7171152600002,246.83333337999997,810.6420622799999,477.63274324,406.3771224200001,645.4301697999998,961.1773361200002,401.8928448799999,319.31906114
ENSG00000253767,ENST00000398604.3,5.775360314000003,2.5760660140000007,2.4008493240000006,14.485693817000005,1.3459808460000005,10.641338578000003,7.709899495999999,5.908707948000001,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000245526,ENST00000666342.1,10.1279608,3.1815476700000005,6.077167920000001,18.757038199999997,0.62777778,9.574629640000001,2.7751017100000004,0.125,5.26160343,1.3611111500000002,0,0,0,0,4.16113019,3.0500000500000004,6.1042538099999994,1.86111082,12.262003645000002,5.052976225000001,0.7499849
ENSG00000112983,ENST00000402931.5,26.67821072000001,19.60683475,19.119048449999998,53.259424650000014,24.49110632,193.27525461000002,51.79285895,79.43227217999997,103.44849307999993,25.88642478,0,0,0,0,48.36900408,24.98958675,32.52343603000001,31.680298600000004,35.56798545,12.396826039999999,17.08928575
ENSG00000170469,ENST00000450845.7,0,4,0,3,2,19.9998638,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000131504,ENST00000389054.8,25.13333368999999,16.694925679999997,14.282173119999994,72.85144392000004,21.372627629999997,140.56518406499984,88.92317637999997,44.539701380000004,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206503,ENST00000376809.10,47.38067645699999,16.51783218,51.95447335099999,51.81743066499999,16.046943656824,39.210375626,26.767452830000003,11.1,12.95952382,5.540909096,12.822921975000002,40.358652045,24.66306241100001,24.445082840000005,0,0,0,0,0,0,0
ENSG00000204592,ENST00000376630.5,16,76,22,42,60,1034,48,29,44.5,97,9,7,18,87,54,3,1,9,10,64,26
ENSG00000288473,ENST00000477288.5,3.51071432,8.0642167,2.77380958,11.554761939999999,4.438095280000001,36.41646156000001,5.875000070000001,2.4023810099999996,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204469,ENST00000376033.3,55.15000002000001,65.30000006000002,53.69182084000001,165.2000000799999,71.50000006,371.33840814000007,169.71248245999996,125.70000003999999,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000112655,ENST00000470019.5,34.83452397,6.608333439999999,40.55298227,20.295238215999998,7.211904810000001,62.934623810000026,15.922619159999996,4.327380980000001,8.166666710000001,3.6250000399999998,16.779762019999996,34.56547637,15.607142929999998,13.011904809999999,0,0,0,0,0,0,0
