"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","ensembl_id","entrez_id"
9.55058298513351e-57,2.91867233329804,0.538,0.149,4.36614451748363e-52,"Radial Glia (Mixed)","ENSG00000302067.1-ENSG00000302067","ENSG00000302067",NA
7.41985863694725e-56,2.84225920560562,0.458,0.099,3.3920625744668e-51,"Radial Glia (Mixed)","ENSG00000065675.16-PRKCQ","ENSG00000065675","5588"
1.80206663173569e-52,2.32560993018913,0.845,0.532,8.2383278136429e-48,"Radial Glia (Mixed)","ENSG00000114023.16-FAM162A","ENSG00000114023","26355"
3.47864415549852e-52,3.02614552118063,0.63,0.244,1.5902969621277e-47,"Radial Glia (Mixed)","ENSG00000215244.5-LINC02649","ENSG00000215244","399715"
3.736263680915e-52,1.66459189397362,0.975,0.916,1.7080703043671e-47,"Radial Glia (Mixed)","ENSG00000285043.3-ENSG00000285043","ENSG00000285043","112694756"
3.736263680915e-52,1.66459189397362,0.975,0.916,1.7080703043671e-47,"Radial Glia (Mixed)","ENSG00000285043.3-ENSG00000285043","ENSG00000285043","112694756"
5.1532284425145e-50,1.46281985138909,0.975,0.936,2.35584991477993e-45,"Radial Glia (Mixed)","ENSG00000074800.16-ENO1","ENSG00000074800","2023"
5.1532284425145e-50,1.46281985138909,0.975,0.936,2.35584991477993e-45,"Radial Glia (Mixed)","ENSG00000074800.16-ENO1","ENSG00000074800","2023"
7.06094637836074e-50,2.77311658344636,0.483,0.128,3.2279822463314e-45,"Radial Glia (Mixed)","ENSG00000162433.15-AK4","ENSG00000162433","205"
7.06094637836074e-50,2.77311658344636,0.483,0.128,3.2279822463314e-45,"Radial Glia (Mixed)","ENSG00000162433.15-AK4","ENSG00000162433","205"
1.51907163559552e-45,3.34596268497665,0.298,0.047,6.94458788928847e-41,"Radial Glia (Mixed)","ENSG00000228526.9-MIR34AHG","ENSG00000228526","106614088"
