"sample_id","timepoint","n_cells","n_genes","median_nCount","median_nFeature","median_percent_mt","median_percent_ribo","mean_nCount","mean_nFeature","mean_percent_mt","mean_percent_ribo"
"org_1A","1M_Org",1398,42431,18656.5,6038.5,3.38439328655806,8.03266244412459,21552.3948497854,5411.34549356223,5.82398796891231,11.5938948884107
"org_1B","1M_Org",2716,42332,11774.5,4403.5,3.0291868049386,11.7523346668622,14250.515832106,4227.36708394698,4.45946526003626,15.4022524583359
"org_3A","3M_Org",1359,41616,17279,5907,2.26398974797095,4.68095902575162,20865.2994849154,5813.45033112583,4.01449017755508,6.45237851898702
"org_3B","3M_Org",1555,42892,19615,6628,1.96864316869032,4.74918012875015,22749.0958199357,6366.10803858521,2.99779816721311,5.88275376302351
"org_3C","3M_Org",2504,44412,12433.5,5107,2.18771010749054,5.7972794552529,14466.4117412141,5044.76198083067,3.40982806209035,7.25050171697496
"org_6A","6M_Org",668,37861,19413,5740,3.26202562043907,4.48006784862777,27394.2919161677,6326.80239520958,4.74674456827084,5.44022826740038
"org_6B","6M_Org",1331,42303,20622,6085,3.84003635537378,4.93714978040285,27178.9601803156,6506.74305033809,5.03211758625629,5.48661371133069
"org_6C","6M_Org",1274,40115,15290.5,5169.5,3.97555356796676,4.16360760906403,20740.1726844584,5678.01334379906,4.86892484197097,4.82254275972048
