gene_id,transcript_id,Interneurons (IN),CPN,Astroglia,oRG/Astroglia,IP,oRG/Oligo progenitors (cycling),oRG (cycling progenitors),Oligo progenitors
ENSG00000185278,ENST00000367701.10,0.608580931427407,0.6276966096145111,0.4828845185011465,0.3129459168397592,0.5738657447497651,0.2945559410876315,0.2520756399124447,0.4176674332814567
ENSG00000134369,ENST00000477118.2,0.015462567999824135,0.055462041380318586,0.013926704349943494,0.044205722313527415,0.032429149165864514,0.022531767001691197,0.019989518728714382,0.019619490261957254
ENSG00000225206,ENST00000424528.2,0.005695262708362731,0.24187107436271507,0,0.004229784149666195,0.031036468584664356,0,0,0.012685646510230922
ENSG00000120334,ENST00000345664.10,0.003894761963245297,0.0024582402960010605,0.001002967377429113,0.003597753855901467,0.008916233904488056,0.01673188816574665,0.016086686526185365,0
ENSG00000119777,ENST00000460665.1,0.002445168286615207,0.014969373712034089,0.009986516159400856,0.009188196983630307,0.007894515878888841,0.015336685921258685,0.017098285670996107,0.007222861620069571
ENSG00000115234,ENST00000453453.1,0.010822486118943323,0.017134399971444447,0.026703017209198696,0.024154416243367147,0.011170873826660996,0.013824513202310297,0.020436581482960042,0.028038641871136596
ENSG00000218739,ENST00000392061.6,0.04828525953581976,0.04225154151208068,0.11899068060593268,0.1058936809894839,0.03583192278618612,0.027007259460130276,0.01926032397630171,0.07227959404689771
ENSG00000082258,ENST00000264157.10,0.32457582535007595,0.3029821735857114,0.23015168990528417,0.20026871411601668,0.22180597076368225,0.25878032070209644,0.2560597075906516,0.4181178123268192
ENSG00000144395,ENST00000463826.5,0.002164001668319414,0.019288803513146126,0.007561519334376831,0.003366100656587225,0.01117556097559162,0.04544396837151,0.07655762048014714,0.016204546166907904
ENSG00000115825,ENST00000379066.5,0.22979072233852327,0.21454475060700284,0.14948004440200766,0.25802442242768137,0.305143130140598,0.28889048328417033,0.3831685829661359,0.16997175345189877
ENSG00000144381,ENST00000452200.6,0.0993889969873318,0.061225700428690875,0.06187511427182195,0.09423122507864011,0.09262248465043418,0.1796621739135047,0.2074044234854507,0.07922178192595823
