gene_id,transcript_id,Interneurons (IN),CPN,Astroglia,oRG/Astroglia,IP,oRG/Oligo progenitors (cycling),oRG (cycling progenitors),Oligo progenitors,Outer radial glia (oRG),Callosal projection neurons (CPN),CFuPN,Corticofugal projection neurons (CFuPN) (likely CthPN),CFuPN (likely SCPN),Projection neurons (PN),aRG (cycling progenitors),cortical hem,aRG/Outer radial glia,Newborn DL PN,Intermediate Progenitors (IP),Preplate/Subplate neurons,unknown,apical radial glia (aRG),Cortical hem,Deep Layer projection neurons (DL PN),Cajal Retzius Cells,Subcortical progenitors
ENSG00000185278,ENST00000367701.10,0.608580931427407,0.6276966096145111,0.4828845185011465,0.3129459168397592,0.5738657447497651,0.2945559410876315,0.2520756399124447,0.4176674332814567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000134369,ENST00000477118.2,0.015462567999824135,0.055462041380318586,0.013926704349943494,0.044205722313527415,0.032429149165864514,0.022531767001691197,0.019989518728714382,0.019619490261957254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225206,ENST00000424528.2,0.005695262708362731,0.24187107436271507,0,0.004229784149666195,0.031036468584664356,0,0,0.012685646510230922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000120334,ENST00000345664.10,0.003894761963245297,0.0024582402960010605,0.001002967377429113,0.003597753855901467,0.008916233904488056,0.01673188816574665,0.016086686526185365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000119777,ENST00000460665.1,0.002445168286615207,0.014969373712034089,0.009986516159400856,0.009188196983630307,0.007894515878888841,0.015336685921258685,0.017098285670996107,0.007222861620069571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000115234,ENST00000453453.1,0.010822486118943323,0.017134399971444447,0.026703017209198696,0.024154416243367147,0.011170873826660996,0.013824513202310297,0.020436581482960042,0.028038641871136596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000218739,ENST00000392061.6,0.04828525953581976,0.04225154151208068,0.11899068060593268,0.1058936809894839,0.03583192278618612,0.027007259460130276,0.01926032397630171,0.07227959404689771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000082258,ENST00000264157.10,0.32457582535007595,0.3029821735857114,0.23015168990528417,0.20026871411601668,0.22180597076368225,0.25878032070209644,0.2560597075906516,0.4181178123268192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000144395,ENST00000463826.5,0.002164001668319414,0.019288803513146126,0.007561519334376831,0.003366100656587225,0.01117556097559162,0.04544396837151,0.07655762048014714,0.016204546166907904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000115825,ENST00000379066.5,0.22979072233852327,0.21454475060700284,0.14948004440200766,0.25802442242768137,0.305143130140598,0.28889048328417033,0.3831685829661359,0.16997175345189877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000144381,ENST00000452200.6,0.0993889969873318,0.061225700428690875,0.06187511427182195,0.09423122507864011,0.09262248465043418,0.1796621739135047,0.2074044234854507,0.07922178192595823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000119042,ENST00000443023.5,0.01417351820574322,0.15629583538891212,0.013628357123866779,0.0135517529229581,0.003808812616546221,0.02684732128390758,0.006628757267418451,0.04103301526301438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000076242,ENST00000231790.8,0.040042715043402684,0.025898843433821536,0.037663543861465344,0.043283226087254344,0.03212051625097942,0.14176049549480552,0.1362621653575601,0.06582461654597424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000164081,ENST00000341333.10,0.08514499423228425,0.15791474568031857,0.2497573650502197,0.3235508393777011,0.1610746236530994,0.2661511958543425,0.18314455015119127,0.2301321029548296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243989,ENST00000636880.1,5.711655777384458e-4,4.657158580668712e-4,0,0.006492548333200417,0.002304465061720753,9.514222342883498e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000164088,ENST00000323588.9,0.00669667180480075,0.009603106754440073,0.0037619171745188282,0.014786242386793597,0,0.024808119863173373,0.005886741134946873,0.0032894526586334846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000164088,ENST00000296487.8,0.002677967992800743,0.0045121035248975394,0.010131287316362168,0.008221631585051056,0,0.0026211760975584277,9.073321323284039e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000164088,ENST00000409502.7,0.0019909519470144785,0.0022127828749065473,0.004970195090103008,0.005450526305381919,0.001813744268967544,0.009284167765305603,0.001424263807350817,0.0032894526586334846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000164088,ENST00000482724.1,0.001038929910438813,0.0036774012518195494,0.003896204112274835,0.004917206204069834,0,0.01190534386286403,0.001340855718549766,0.0032894526586334846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000168273,ENST00000307106.3,0.02679275590236279,0.016175211206354255,0.026768600580625048,0.06281464318529356,0.03895251008440112,0.08259615405344514,0.023036759032349155,0.026097848908771818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000163938,ENST00000418458.6,0.21453731337393356,0.3854588244788597,0.4828398817960288,0.23690851335463922,0.17024634982697115,0.3811919909226095,0.27997883408742885,0.8005237700436685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000131374,ENST00000253692.11,0.20632314294426318,0.14194409060197022,0.3315903660498081,0.30633927276845807,0.2522148195151249,0.34235450583609744,0.46640534883104245,0.3056014073658133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
